fuente_fichero,nombre_original,etiqueta_definicion_oficial,tipo_oficial,decimales,codigos_categorias_oficiales,valores_perdidos_especiales,bloque_tematico,papel_analitico_sugerido,transformacion_sugerida,observaciones,n_registros_fuente,n_no_nulos_csv,n_nulos_csv,valores_observados_csv,diccionario_oficial
adulto,INDICE_BIENESTAR,Variable derivada: Indice de bienestar general,numérico,2,999 = No contesta,999 = No contesta,Resultados de salud,resultado,Usar continua; 999 como perdido; comprobar rango y distribución.,,21032,21032,0,"0, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68, 72, 76, 80, 84, 88, 92, 96, 100",N_999NC
adulto,SEVERIDAD_DEPRESIVA,Variable derivada: Severidad de la sintomatología depresiva,código alfanumérico,,1 = Ninguna; 2 = Leve; 3 = Moderada; 4 = Moderadamente Grave; 5 = Grave; 9 = No consta,9 = No consta,Resultados de salud,resultado,Usar ordinal; conservar categorías oficiales y tratar especiales como perdidos.,,21032,21032,0,"1, 2, 3, 4, 5, 9",TSEVERI
adulto,CUADROS_DEPRESIVOS,Variable derivada: Prevalencia de cuadros depresivos activos,código alfanumérico,,1 = Cuadro depresivo mayor; 2 = Otros cuadros depresivos; 3 = Sin cuadro depresivo alguno; 9 = No consta,9 = No consta,Resultados de salud,resultado,Usar categórica/binaria según códigos oficiales; tratar especiales como perdidos.,,21032,21032,0,"1, 2, 3, 9",TPREVAL
adulto,O1,Tipo de actividad física que realiza en la actividad principal,código alfanumérico,,"1 = Sentado/a la mayor parte de la jornada; 2 = De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos; 3 = Caminando, llevando algún peso, efectuando desplazamientos frecuentes; 4 = Realizando tareas que requieren gran esfuerzo físico; 5 = No aplicable; 9 = No contesta",9 = No contesta,Hábitos y determinantes,exposición,Usar como ordinal/categórica; 9 como perdido.,,21032,21032,0,"1, 2, 3, 4, 5, 9",T1O
adulto,O2,Frecuencia con la que realiza alguna actividad física en su tiempo libre,código alfanumérico,,1 = No hago ejercicio. El tiempo libre lo ocupo de forma casi completamente sedentaria; 2 = Hago alguna actividad física o deportiva ocasional; 3 = Hago actividad física varias veces al mes; 4 = Hago entrenamiento deportivo o físico varias veces a la semana; 9 = No contesta,9 = No contesta,Hábitos y determinantes,exposición,Usar como ordinal/categórica; 9 como perdido.,,21032,21032,0,"1, 2, 3, 4, 9",T2O
adulto,O7,Ejercicio físico en tiempo de ocio: Número de días en que practica deporte al menos 10 minutos seguidos,numérico,,9 = No contesta,9 = No contesta,Hábitos y determinantes,exposición,Días/semana (0–7); 9 como perdido; considerar binaria ≥3 días.,,21032,21032,0,"0, 1, 2, 3, 4, 5, 6, 7, 9",N_9NC
adulto,Q1,¿Fuma actualmente?,código alfanumérico,,"1 = Sí, fumo a diario; 2 = Sí fumo, pero no a diario; 3 = No fumo actualmente, pero he fumado antes; 4 = No fumo ni he fumado nunca de manera habitual; 9 = No contesta",9 = No contesta,Hábitos y determinantes,exposición,Recodificar nunca/exfumador/ocasional/diario según categorías oficiales; 9 perdido.,,21032,21032,0,"1, 2, 3, 4, 9",T1Q
adulto,R1,Frecuencia de consumo de alcohol en los últimos 12 meses,código alfanumérico,,"01 = A diario o casi a diario; 02 = 5-6 días por semana; 03 = 3-4 días por semana; 04 = 1-2 días por semana; 05 = 2-3 días en un mes; 06 = Una vez al mes; 07 = Menos de una vez al mes; 08 = No en los últimos 12 meses, he dejado de tomar alcohol; 09 = Nunca o solamente unos sorbos para probarlo a lo largo de toda la vida; 99 = No contesta",99 = No contesta,Hábitos y determinantes,exposición,Usar ordinal; distinguir abstinencia de consumo infrecuente; 99 perdido.,,21032,21032,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 99",T1R
adulto,CMD1,"Variable derivada: Consumo medio diario de alcohol semanal (lunes a domingo)
000 a 300 (3 enteros, 2 decimales)",numérico,2,999 = No contesta,999 = No contesta,Hábitos y determinantes,exposición,Usar continua; 999 como perdido; explorar asimetría y categorías de riesgo solo con umbral documentado.,,21032,21032,0,"0, 1.43, 2.86, 4.29, 5.71, 7.14, 8.57, 10, 11.43, 12.86, 14.29, 15.71, 17.14, 18.57, 20, 21.43, 22.86, 24.29, 25.71, 27.14, 28.57, 30, 31.43, 32.86, 34.29, 35.71, 37.14, 38.57, 40, 41.43, 42.86, 44.29, 45.71, 47.14, 48.57, 50, 51.43, 52.86, 54.29, 55.71 … (70 valores únicos)",N_999NC
adulto,S1,"En caso de problema personal grave, ¿con cuántas personas podría contar?",código alfanumérico,,1 = Ninguna; 2 = Una o dos personas; 3 = De 3 a 5 personas; 4 = Más de 5 personas; 9 = No contesta,9 = No contesta,Hábitos y determinantes,exposición,Usar ordinal; 9 como perdido.,,21032,21032,0,"1, 2, 3, 4, 9",T1S
adulto,S2,¿En qué medida se interesan otras personas por lo que a usted le pasa?,código alfanumérico,,1 = Mucho; 2 = Algo; 3 = Ni mucho ni poco; 4 = Poco; 5 = Nada; 9 = No contesta,9 = No contesta,Hábitos y determinantes,exposición,Usar ordinal; 9 como perdido.,,21032,21032,0,"1, 2, 3, 4, 5, 9",T2S
adulto,S3,¿En qué medida le resulta fácil obtener ayuda de los vecinos en caso de necesidad?,código alfanumérico,,1 = Muy fácil; 2 = Fácil; 3 = Es posible; 4 = Difícil; 5 = Muy difícil; 9 = No contesta,9 = No contesta,Hábitos y determinantes,exposición,Usar ordinal; 9 como perdido.,,21032,21032,0,"1, 2, 3, 4, 5, 9",T3S
